source,destination,rssi,timestamp
WB1,WB2,-19,1201504
WB5,WB1,-28,1249729
WB5,WB2,-24,1249729
WB3,WB2,-52,1346783
WB4,WB2,-47,1361881
WB2,WB1,-26,1249968
WB1,WB2,-18,1209515
WB5,WB2,-23,1257741
WB5,WB1,-28,1257741
WB3,WB2,-53,1354794
WB3,WB1,-48,1354794
WB4,WB1,-32,1369891
WB2,WB1,-15,1257980
WB5,WB2,-24,1265752
WB5,WB1,-28,1265752
WB3,WB1,-48,1362806
WB3,WB2,-56,1362806
WB4,WB1,-35,1377903
WB2,WB1,-15,1265989
WB1,WB2,-19,1225538
WB5,WB1,-28,1273762
WB5,WB2,-24,1273762
WB3,WB1,-51,1370816
WB4,WB1,-44,1385915
WB1,WB2,-18,1233548
WB5,WB2,-23,1281773
